time_sec,algae,daphnia,beetles,avg_stealth,avg_neuroticism,protected
2434,196,100,0,0.9775112060367629,0.009,0
2444,34,100,0,0.9775112060367629,0.009,0
2454,136,100,0,0.9775112060367629,0.009,8
2464,18,100,0,0.9775112060367629,0.009,0
2474,185,100,0,0.9775112060367629,0.009,0
2485,135,100,0,0.9775112060367629,0.009,1
2495,169,100,0,0.9775112060367629,0.009,8
2505,6,100,0,0.9775112060367629,0.009,0
2515,200,100,0,0.9775112060367629,0.009,1
2525,198,100,0,0.9775112060367629,0.009,1
2535,154,100,0,0.9775112060367629,0.009,3
2545,200,100,0,0.9775112060367629,0.009,0
2555,195,100,0,0.9775112060367629,0.009,0
2565,200,100,0,0.9775112060367629,0.009,0
2575,172,100,0,0.9768347196091781,0.009,0
2585,20,100,0,0.9768347196091781,0.009,0
2595,121,100,0,0.9768347196091781,0.009,0
2605,163,100,0,0.9768347196091781,0.009,0
2615,200,100,0,0.9768347196091781,0.009,0
2625,186,100,0,0.9768347196091781,0.009,1
2636,19,100,0,0.9768347196091781,0.009,0
2646,18,100,0,0.9768347196091781,0.009,0
2656,162,100,0,0.9768347196091781,0.009,2
2666,177,100,0,0.9768347196091781,0.009,8
